recovery_id,product_id,recovery_center_id,recovery_center_name,recovery_date,material_type,weight_recovered,condition,recycling_method,recovered_by,circular_credit_amount,gps_lat,gps_lon,verification_hash
REC-20260206-58399,ORGM002202602261731012565,R007,Ahmedabad Waste,1770337816.107667,Organic Waste,31.26,good,mechanical,Collector-47,93.77,13.450276881959665,77.61925845637775,877c8ed19c38ed06
REC-20260206-86056,E-WM007202602261731012906,R003,Bengaluru E-Parisara,1770338111.701171,E-Waste PCB,3.42,damaged,chemical,Collector-56,153.91,13.217373565780706,77.97998281051396,329cf19003bc7104
REC-20260206-85846,HDPM008202602261731013555,R006,Pune Recycling,1770338172.124252,HDPE Plastic,13.05,good,mechanical,Collector-89,195.78,12.996733427024868,78.04108672632083,811cf743508e98f0
REC-20260206-33131,LITM006202602261731011450,R003,Bengaluru E-Parisara,1770338306.18807,Lithium Battery,28.59,damaged,mechanical,Collector-57,1286.34,12.855501071328968,77.67750701827786,e56e2df5c4802fcb
REC-20260206-67176,E-WM005202602261731019524,R008,Hyderabad Green,1770339196.088974,E-Waste PCB,13.83,damaged,composting,Collector-32,622.14,12.895414165165462,78.03277134043861,700a278726fb5ee3
REC-20260206-98682,PAPM002202602261731016702,R003,Bengaluru E-Parisara,1770340861.260682,Paper/Cardboard,18.48,good,pyrolysis,Collector-28,147.85,13.312218399078583,77.55991066008706,103aab4e38301314
REC-20260206-57477,PAPM008202602261731017795,R006,Pune Recycling,1770340925.404938,Paper/Cardboard,21.17,damaged,mechanical,Collector-77,169.39,13.143300435138462,77.38330311539228,02430fd90dc94f59
REC-20260206-86691,PETM006202602261731012205,R002,Mumbai Waste Warriors,1770340962.271837,PET Plastic,34.56,damaged,chemical,Collector-68,518.4,13.080807715533869,77.74276909385023,4159ca75572cd423
REC-20260206-22937,PETM005202602261731012484,R001,Delhi Recycling Hub,1770341341.528947,PET Plastic,17.97,good,pyrolysis,Collector-68,269.61,12.77233015794944,77.73030298704576,45dda846d42bc26d
REC-20260206-31236,PETM006202602261731019746,R008,Hyderabad Green,1770341492.109568,PET Plastic,31.44,damaged,mechanical,Collector-94,471.65,13.240255969561222,77.39783938439038,8acd44ce1e46892b
REC-20260206-87342,ORGM001202602261731017190,R007,Ahmedabad Waste,1770343899.678086,Organic Waste,39.82,end_of_life,pyrolysis,Collector-65,119.46,13.10272222690989,77.21614291147468,1094062e787cf3e0
REC-20260206-28575,ORGM008202602261731014159,R002,Mumbai Waste Warriors,1770344763.069146,Organic Waste,11.51,excellent,composting,Collector-22,34.52,12.649454091775032,77.48895529144163,400a641a20484866
REC-20260206-48776,ALUM003202602261731011532,R005,Kolkata Recovery,1770345710.448385,Aluminum,44.73,good,pyrolysis,Collector-29,1565.4,13.160202742235729,77.11715091568709,a8e93ed8e627448d
REC-20260206-19211,ORGM002202602261731016864,R002,Mumbai Waste Warriors,1770345725.125874,Organic Waste,32.14,damaged,chemical,Collector-7,96.42,13.27662918759668,77.91485466269005,5c3af57df41f5507
REC-20260206-34372,LITM007202602261731017245,R002,Mumbai Waste Warriors,1770347233.321503,Lithium Battery,11.46,damaged,composting,Collector-93,515.74,13.36677055669307,77.22862817094266,698d6ca49a4a7665
REC-20260206-48380,STEM003202602261731011480,R008,Hyderabad Green,1770347331.868891,Steel,15.66,damaged,composting,Collector-44,548.2,12.605182814011444,77.6028996558297,11addb392e48e7d7
REC-20260206-80181,ALUM001202602261731012983,R008,Hyderabad Green,1770350576.316008,Aluminum,11.27,damaged,pyrolysis,Collector-5,394.53,13.254052231185371,77.88868481398048,7501cdf7aef98f7b
REC-20260206-26223,STEM001202602261731015135,R002,Mumbai Waste Warriors,1770352205.603033,Steel,43.91,good,mechanical,Collector-84,1536.69,13.024939652405212,77.58491878469864,b9c017aa0ed62efb
REC-20260206-55774,PAPM004202602261731015111,R008,Hyderabad Green,1770353314.154066,Paper/Cardboard,35.24,good,mechanical,Collector-27,281.94,12.865939905545048,77.57069987795967,b9f39caf7e55bc9a
REC-20260206-23146,ORGM002202602261731018675,R003,Bengaluru E-Parisara,1770354071.062038,Organic Waste,43.91,good,composting,Collector-84,131.73,13.361232194668663,78.09427561612138,a7ce1093fedd64d2
REC-20260206-50416,PAPM004202602261731016924,R002,Mumbai Waste Warriors,1770355776.473511,Paper/Cardboard,0.53,good,mechanical,Collector-29,4.21,12.594139504331515,77.80964123852068,84b36061b6c96a2d
REC-20260206-99522,GLAM003202602261731016092,R003,Bengaluru E-Parisara,1770357732.255546,Glass,8.64,excellent,mechanical,Collector-2,43.19,13.153533437559645,77.26688977079745,90c5029a77aa260a
REC-20260206-16145,ORGM006202602261731017836,R004,Chennai Green Center,1770359067.021831,Organic Waste,37.06,excellent,mechanical,Collector-31,111.18,12.923895170281265,78.01554805702645,b1affdb6a647dd28
REC-20260206-14195,ALUM003202602261731014757,R003,Bengaluru E-Parisara,1770359438.314204,Aluminum,5.71,damaged,chemical,Collector-52,199.82,13.18799167704827,77.27792427654009,2a12907c622ac303
REC-20260206-69649,STEM007202602261731015213,R003,Bengaluru E-Parisara,1770359707.777791,Steel,32.54,end_of_life,chemical,Collector-70,1138.73,13.469988731292995,77.94461059715518,2d22be24e79d62ad
REC-20260206-22831,E-WM008202602261731019656,R002,Mumbai Waste Warriors,1770361335.665548,E-Waste PCB,28.36,good,composting,Collector-90,1276.1,13.04192596955754,77.37949337808698,c2d13f702e176285
REC-20260206-94699,ALUM007202602261731013495,R007,Ahmedabad Waste,1770361631.082023,Aluminum,22.77,end_of_life,composting,Collector-79,797.01,13.349666938634437,77.75820273704261,01c9abedb0db3c76
REC-20260206-72890,GLAM001202602261731014986,R004,Chennai Green Center,1770362032.93136,Glass,35.94,damaged,mechanical,Collector-100,179.71,12.791745895383194,77.40758079185194,7457545bbc305228
REC-20260206-15483,LITM003202602261731019900,R008,Hyderabad Green,1770362253.554786,Lithium Battery,14.75,end_of_life,chemical,Collector-94,663.83,12.478496192374946,77.5509067413799,a133ad782e553df6
REC-20260206-22411,STEM007202602261731015779,R004,Chennai Green Center,1770362718.316995,Steel,47.52,good,mechanical,Collector-90,1663.37,12.848588513788812,77.56783842948657,ef8ef62c0399864a
REC-20260206-58152,HDPM003202602261731014070,R008,Hyderabad Green,1770363639.679228,HDPE Plastic,25.67,good,mechanical,Collector-33,384.98,12.707607313234645,78.05514804503467,49bb8b376611b487
REC-20260206-17429,GLAM007202602261731014380,R006,Pune Recycling,1770363711.500792,Glass,8.26,end_of_life,composting,Collector-37,41.3,12.504922833463613,77.97262148648713,a316588555743044
REC-20260206-91761,HDPM006202602261731018158,R008,Hyderabad Green,1770364966.376532,HDPE Plastic,5.78,damaged,chemical,Collector-92,86.71,13.00323876512213,77.16317169513708,7b9ddafecbd2e24b
REC-20260206-52864,ALUM008202602261731011560,R005,Kolkata Recovery,1770366850.195448,Aluminum,17.78,good,chemical,Collector-22,622.21,12.944442872735014,77.3531429764441,640f94d5ee1aca80
REC-20260206-57279,E-WM003202602261731019467,R005,Kolkata Recovery,1770367328.383045,E-Waste PCB,12.99,damaged,mechanical,Collector-13,584.54,12.61012838307659,77.98416426760444,50b779b278a6b254
REC-20260206-66825,LITM004202602261731013262,R005,Kolkata Recovery,1770367920.899219,Lithium Battery,13.11,end_of_life,pyrolysis,Collector-5,589.92,13.069008812812925,77.30840418706802,1d9904a4e1a5b754
REC-20260206-21448,STEM003202602261731017946,R008,Hyderabad Green,1770370724.544837,Steel,4.07,good,composting,Collector-56,142.62,12.742484100631009,77.81239230168751,2f9c032c405e5330
REC-20260206-14319,GLAM005202602261731018743,R007,Ahmedabad Waste,1770375942.687581,Glass,2.46,damaged,composting,Collector-42,12.29,12.53440494033565,77.4426609959765,1acda3f02f98ea15
REC-20260206-37954,COPM003202602261731016818,R008,Hyderabad Green,1770376313.483393,Copper,24.37,good,chemical,Collector-59,853.01,13.314192036200946,77.40157002422804,c8a8a0a3b9960bd1
REC-20260206-83334,ALUM004202602261731016364,R008,Hyderabad Green,1770376700.835828,Aluminum,31.68,end_of_life,pyrolysis,Collector-15,1108.83,13.169286323913814,77.70941239568732,ab53aa107159e08e
REC-20260206-10726,PETM008202602261731015748,R006,Pune Recycling,1770378695.379534,PET Plastic,28.38,excellent,pyrolysis,Collector-26,425.7,12.652849653665173,77.53948220013243,fceb05585d4fa540
REC-20260206-52421,COPM007202602261731014822,R008,Hyderabad Green,1770378984.973159,Copper,22.03,good,chemical,Collector-61,771.11,13.246883010716912,77.46908990332145,fd93a4d7ef31f26a
REC-20260206-73990,GLAM003202602261731013542,R003,Bengaluru E-Parisara,1770380170.052217,Glass,14.39,good,mechanical,Collector-99,71.97,13.033114079134165,77.97037378332865,0db7317ad12d06cd
REC-20260206-13344,E-WM005202602261731018113,R008,Hyderabad Green,1770380443.147696,E-Waste PCB,2.41,damaged,pyrolysis,Collector-33,108.61,13.055772592085427,77.92122604044859,935d01908f184c58
REC-20260206-27051,COPM004202602261731012759,R007,Ahmedabad Waste,1770380632.202927,Copper,24.14,good,mechanical,Collector-8,844.84,12.93002039614991,77.76584508952654,5356c7a616447693
REC-20260206-48312,LITM002202602261731011089,R002,Mumbai Waste Warriors,1770381900.548342,Lithium Battery,48.6,excellent,composting,Collector-1,2187.2,13.430560495373184,77.67196592427022,48020d71a311cb5b
REC-20260206-30230,HDPM006202602261731011782,R007,Ahmedabad Waste,1770384827.41902,HDPE Plastic,35.03,end_of_life,mechanical,Collector-15,525.44,13.02095760587722,77.90732994648735,a937f01a65ced7f1
REC-20260206-52999,GLAM003202602261731016456,R007,Ahmedabad Waste,1770384884.318256,Glass,18.73,damaged,mechanical,Collector-34,93.67,13.212628210540604,77.77531594592323,72f8627e0fedab5a
REC-20260206-15708,ORGM004202602261731013401,R005,Kolkata Recovery,1770386342.257852,Organic Waste,1.83,good,chemical,Collector-78,5.48,13.182737923631272,77.88825577050106,60997bc9d32f3e4a
REC-20260206-78974,STEM003202602261731014631,R003,Bengaluru E-Parisara,1770386925.837406,Steel,8.87,good,pyrolysis,Collector-15,310.43,13.416043627380478,77.74938310474525,7e4b6aee2e0f48a7
REC-20260206-42619,GLAM002202602261731018842,R001,Delhi Recycling Hub,1770387248.200996,Glass,6.59,excellent,chemical,Collector-89,32.95,12.826735397621192,77.63189505240744,ecb4b0bf92b5da09
REC-20260206-22795,E-WM007202602261731011205,R004,Chennai Green Center,1770387899.679894,E-Waste PCB,14.96,good,pyrolysis,Collector-49,673.18,12.95735849681196,77.67460919106098,b521e7de644491fc
REC-20260206-78312,PETM006202602261731015439,R003,Bengaluru E-Parisara,1770389969.592972,PET Plastic,38.29,damaged,composting,Collector-79,574.38,12.47372912203751,77.43267308975258,0e3a47f120c5cbd9
REC-20260206-84807,ALUM007202602261731018272,R001,Delhi Recycling Hub,1770393588.892385,Aluminum,2.18,damaged,chemical,Collector-4,76.24,12.773840480800535,77.63171032454652,cc4571669c90db45
REC-20260206-66960,ALUM007202602261731013904,R006,Pune Recycling,1770394024.362407,Aluminum,38.8,good,mechanical,Collector-93,1357.89,13.099667560322997,77.48284796313686,dc0e392c5fadc3fc
REC-20260206-86089,LITM007202602261731012384,R002,Mumbai Waste Warriors,1770394900.674206,Lithium Battery,29.53,end_of_life,pyrolysis,Collector-25,1328.95,13.086877964174858,77.1997803974094,616480071a711e92
REC-20260206-46497,ALUM003202602261731012734,R008,Hyderabad Green,1770395110.098136,Aluminum,1.94,good,mechanical,Collector-67,67.88,12.595295174327342,78.01450889176705,d791150fbd14523d
REC-20260206-52140,HDPM001202602261731019057,R001,Delhi Recycling Hub,1770395239.885773,HDPE Plastic,36.36,excellent,composting,Collector-66,545.37,12.624131164318573,77.96167593845958,fc5b8413e53c9f28
REC-20260206-40511,PETM006202602261731018073,R005,Kolkata Recovery,1770395274.907847,PET Plastic,7.17,good,chemical,Collector-88,107.59,13.15253952724902,77.87239108876835,9f74e2e44f22850b
REC-20260206-81888,GLAM007202602261731013144,R008,Hyderabad Green,1770395790.958998,Glass,24.47,excellent,chemical,Collector-44,122.34,12.99712644985703,77.88107886583356,b64e31ade9492280
REC-20260206-76237,PAPM003202602261731014807,R003,Bengaluru E-Parisara,1770395926.45982,Paper/Cardboard,34.18,damaged,pyrolysis,Collector-20,273.44,12.890170426475535,78.07160817556347,11738e4a30652b7a
REC-20260206-29776,LITM002202602261731016531,R001,Delhi Recycling Hub,1770396157.177342,Lithium Battery,33.96,good,mechanical,Collector-73,1528.07,12.905588217190143,78.0028719105815,78be6c1eedf1b2a3
REC-20260206-13689,ORGM008202602261731017237,R003,Bengaluru E-Parisara,1770397678.06292,Organic Waste,40.81,end_of_life,chemical,Collector-39,122.43,12.61593925858287,77.1406659289511,84975dc562095255
REC-20260206-59028,ORGM004202602261731015134,R003,Bengaluru E-Parisara,1770398431.264566,Organic Waste,1.64,end_of_life,pyrolysis,Collector-20,4.93,13.159879425040591,78.02977400127324,db803bf9fe57ec0b
REC-20260206-59828,LITM001202602261731012970,R007,Ahmedabad Waste,1770399188.150319,Lithium Battery,14.4,good,pyrolysis,Collector-17,647.79,12.9441747347302,77.67223286565643,5f37cdbbb903a49c
REC-20260206-34237,ALUM003202602261731017438,R002,Mumbai Waste Warriors,1770399269.327184,Aluminum,17.28,damaged,mechanical,Collector-37,604.69,12.719934068544005,77.73679374565876,2c8221df968e7dca
REC-20260206-64174,HDPM006202602261731017549,R008,Hyderabad Green,1770400601.230211,HDPE Plastic,11.39,end_of_life,composting,Collector-6,170.86,12.959337999219263,77.20660538727364,629246cd789fa8e3
REC-20260206-52037,PETM001202602261731018683,R008,Hyderabad Green,1770401873.284032,PET Plastic,5.05,good,chemical,Collector-84,75.7,12.875154404586809,78.00713481921329,e8d3f39ead9ea704
REC-20260207-41175,LITM002202602261731014175,R002,Mumbai Waste Warriors,1770402730.437866,Lithium Battery,7.63,end_of_life,pyrolysis,Collector-47,343.21,12.841569081524732,77.19751858614624,02ebe040f033dcc4
REC-20260207-66204,ALUM005202602261731014242,R007,Ahmedabad Waste,1770403027.782556,Aluminum,26.44,excellent,composting,Collector-27,925.24,13.303154958616885,78.0582416924555,eda542565170a386
REC-20260207-22092,STEM008202602261731012052,R005,Kolkata Recovery,1770403144.911942,Steel,32.03,good,composting,Collector-65,1121.22,13.31574101600457,77.10394270265732,f4deb3a6fa4b2305
REC-20260207-49472,E-WM001202602261731013734,R005,Kolkata Recovery,1770404477.99527,E-Waste PCB,12.64,good,pyrolysis,Collector-97,568.95,13.105798396677766,77.57336550236685,b3f8df01803cd124
REC-20260207-58375,E-WM007202602261731018927,R006,Pune Recycling,1770406514.445638,E-Waste PCB,29.33,good,composting,Collector-69,1319.78,13.470814391570833,78.09328991832922,9d04994e5dae722e
REC-20260207-55542,ALUM008202602261731013209,R005,Kolkata Recovery,1770407418.755255,Aluminum,33.48,good,mechanical,Collector-38,1171.75,12.706096514874044,77.76122918034591,6d7c2d2be3f121e6
REC-20260207-51901,PAPM003202602261731015441,R005,Kolkata Recovery,1770407445.368169,Paper/Cardboard,37.22,end_of_life,mechanical,Collector-14,297.79,13.139224840125738,77.72561333783324,c12808bc55c5d120
REC-20260207-64996,PETM001202602261731016591,R006,Pune Recycling,1770408500.933996,PET Plastic,26.67,end_of_life,pyrolysis,Collector-86,400.11,12.550663403158955,77.91640580477392,43f6715a51104025
REC-20260207-62435,E-WM006202602261731018451,R008,Hyderabad Green,1770408614.517551,E-Waste PCB,24.69,excellent,mechanical,Collector-67,1111.21,12.7187571437857,77.14077891585072,ae7980ea8f90c4a9
REC-20260207-33318,E-WM003202602261731012813,R003,Bengaluru E-Parisara,1770409417.01808,E-Waste PCB,28.97,good,mechanical,Collector-54,1303.69,13.122556149609235,77.58271266699421,9e0ccb1c91f7c31a
REC-20260207-52752,GLAM006202602261731011914,R007,Ahmedabad Waste,1770411099.242277,Glass,34.49,good,mechanical,Collector-54,172.43,12.493559545559135,77.15475645131984,aa25a30e73733828
REC-20260207-76009,STEM002202602261731017442,R007,Ahmedabad Waste,1770411102.184708,Steel,17.12,excellent,composting,Collector-71,599.08,13.369397485842118,77.1980950371221,e20d855f9adfe40a
REC-20260207-30825,COPM001202602261731012809,R001,Delhi Recycling Hub,1770411364.254244,Copper,16.34,damaged,composting,Collector-82,571.81,13.16232807181807,78.08641553668177,e34bbaff916f4820
REC-20260207-19455,PAPM001202602261731012102,R008,Hyderabad Green,1770411531.988371,Paper/Cardboard,22.76,good,mechanical,Collector-31,182.12,12.919141325967232,77.56622039169153,63cf4e2b9e23cd6c
REC-20260207-66152,GLAM004202602261731017911,R007,Ahmedabad Waste,1770416728.086965,Glass,45.74,good,pyrolysis,Collector-64,228.69,12.908567919898728,77.67815699001329,6b7d5ce72cb1d6c3
REC-20260207-95199,PETM006202602261731017164,R004,Chennai Green Center,1770418363.819944,PET Plastic,31.62,damaged,mechanical,Collector-49,474.23,12.897995912251371,77.4074439675971,1c3df939f3223499
REC-20260207-15101,GLAM006202602261731014013,R008,Hyderabad Green,1770418439.479313,Glass,7.7,damaged,chemical,Collector-84,38.48,12.631319704216423,78.02554443380231,86aa3235cf967666
REC-20260207-80464,E-WM007202602261731014990,R003,Bengaluru E-Parisara,1770418625.572113,E-Waste PCB,14.87,good,chemical,Collector-36,669.0,13.198468721650611,77.21330140266983,263ae6d212086067
REC-20260207-22738,PAPM006202602261731015146,R007,Ahmedabad Waste,1770419008.257189,Paper/Cardboard,4.29,good,mechanical,Collector-30,34.34,12.568600206740264,77.94734727827367,b7164da8bc27edb4
REC-20260207-14906,E-WM004202602261731018037,R001,Delhi Recycling Hub,1770419173.598278,E-Waste PCB,28.01,damaged,mechanical,Collector-99,1260.47,12.803773533066147,77.47816792569691,4bfc72a427d25edc
REC-20260207-50191,PETM007202602261731016406,R001,Delhi Recycling Hub,1770421536.109786,PET Plastic,16.67,damaged,chemical,Collector-87,249.99,12.579360604081812,77.93123340926707,7bab23ae60c4b34c
REC-20260207-83434,HDPM003202602261731016727,R007,Ahmedabad Waste,1770421705.368556,HDPE Plastic,35.04,damaged,chemical,Collector-4,525.61,12.721602236949133,78.075801537566,f536ae58cae2f373
REC-20260207-53119,STEM004202602261731014107,R001,Delhi Recycling Hub,1770422107.5767,Steel,5.47,damaged,composting,Collector-68,191.28,13.463363062054452,77.67165899277758,ecabd12d0ad4a92f
REC-20260207-66597,HDPM006202602261731019641,R005,Kolkata Recovery,1770422422.842013,HDPE Plastic,17.48,good,pyrolysis,Collector-42,262.2,12.751421632759897,77.30565614354619,8d3d2ade607d7cc2
REC-20260207-83479,STEM002202602261731017840,R004,Chennai Green Center,1770422773.921655,Steel,19.9,good,pyrolysis,Collector-99,696.45,13.116579579600794,78.07984149276275,1b6ef1d49ed56a8c
REC-20260207-10080,STEM003202602261731015778,R008,Hyderabad Green,1770423517.579825,Steel,11.37,damaged,mechanical,Collector-73,397.86,13.018417601159909,77.98518342663256,e021f7828a6160ec
REC-20260207-76619,ORGM008202602261731018919,R005,Kolkata Recovery,1770425300.468772,Organic Waste,1.38,good,pyrolysis,Collector-9,4.14,12.906284530113272,78.04811614950852,50bdf10139fc2fb4
REC-20260207-46772,LITM003202602261731013433,R006,Pune Recycling,1770425642.426184,Lithium Battery,42.92,excellent,pyrolysis,Collector-59,1931.43,13.399762653707741,77.77672433297688,65b137e4319e45f7
REC-20260207-23893,PETM008202602261731013289,R004,Chennai Green Center,1770425866.469015,PET Plastic,0.66,end_of_life,chemical,Collector-99,9.91,13.4621679703528,77.61181027156938,6d5176ef0681df96
REC-20260207-68319,PETM006202602261731019176,R007,Ahmedabad Waste,1770426082.019791,PET Plastic,14.99,good,mechanical,Collector-65,224.87,13.141145449840748,77.16627930842523,3c8a12ff0f007484
REC-20260207-91574,ORGM003202602261731017433,R004,Chennai Green Center,1770426866.234264,Organic Waste,3.94,damaged,composting,Collector-29,11.82,12.54069478536641,77.52279871788015,c854bd5687b63914
REC-20260207-77781,COPM001202602261731019710,R003,Bengaluru E-Parisara,1770429026.2226,Copper,35.25,good,chemical,Collector-28,1233.66,13.27005184753076,77.75424673147018,29e79d59a3a86211
REC-20260207-18274,E-WM006202602261731017195,R007,Ahmedabad Waste,1770430172.130079,E-Waste PCB,11.63,good,composting,Collector-50,523.22,12.66570632289547,77.70612420348853,ab2c230aa7822992
REC-20260207-28129,PAPM008202602261731013613,R003,Bengaluru E-Parisara,1770430575.055764,Paper/Cardboard,34.71,good,composting,Collector-28,277.7,12.716707903814711,77.46939907407938,0398c7b1c18acd83
REC-20260207-90672,LITM006202602261731011145,R007,Ahmedabad Waste,1770431225.324679,Lithium Battery,23.2,damaged,chemical,Collector-52,1044.05,12.780130472572061,77.57774304420357,26c05f6837c2b7d3
REC-20260207-99184,GLAM007202602261731013822,R004,Chennai Green Center,1770434088.086047,Glass,10.83,good,mechanical,Collector-10,54.13,12.877809893778439,77.82166912837388,a0e036b134f5df8f
REC-20260207-49593,GLAM007202602261731012246,R005,Kolkata Recovery,1770434762.263555,Glass,27.17,damaged,pyrolysis,Collector-68,135.86,12.826702500208938,77.75945206332118,f4a1ad8b288945bb
REC-20260207-16667,COPM004202602261731012286,R004,Chennai Green Center,1770435317.609634,Copper,8.36,good,composting,Collector-44,292.76,13.440154131293388,78.04235287965017,7faba5843f6a26b0
REC-20260207-84954,HDPM006202602261731018481,R005,Kolkata Recovery,1770436600.181159,HDPE Plastic,16.98,good,chemical,Collector-27,254.63,12.570949340542079,77.99984331542697,41bd4b8e3c9a42a8
REC-20260207-50945,GLAM007202602261731017921,R003,Bengaluru E-Parisara,1770436669.408084,Glass,36.68,excellent,pyrolysis,Collector-76,183.42,13.08860426208847,77.9767396459886,d58fb88ebdebf0c8
REC-20260207-57645,GLAM002202602261731017105,R002,Mumbai Waste Warriors,1770436712.519198,Glass,20.23,damaged,mechanical,Collector-74,101.16,13.398226580811675,77.92494826991128,8773c72ea9c045e0
REC-20260207-18072,GLAM003202602261731017099,R005,Kolkata Recovery,1770438405.248969,Glass,6.15,good,chemical,Collector-19,30.73,13.448412708069995,77.31652676641095,3e30891e7634a8dd
REC-20260207-17782,E-WM008202602261731014733,R003,Bengaluru E-Parisara,1770438812.233522,E-Waste PCB,39.58,excellent,mechanical,Collector-47,1780.98,12.634204915259971,77.40882527029905,ffac6dc7deee801a
REC-20260207-24990,PETM008202602261731016205,R005,Kolkata Recovery,1770439038.506948,PET Plastic,5.95,excellent,composting,Collector-22,89.26,12.750937393865366,77.47204216424213,b29292b3547c3997
REC-20260207-26868,COPM007202602261731012207,R003,Bengaluru E-Parisara,1770439098.764864,Copper,25.39,excellent,chemical,Collector-22,888.69,12.981965762616353,78.00157891858217,a7d56900bbde61f2
REC-20260207-57498,E-WM008202602261731017800,R003,Bengaluru E-Parisara,1770439273.718236,E-Waste PCB,23.54,damaged,composting,Collector-32,1059.49,13.0897405470937,77.50918155560355,c5f827f892499950
REC-20260207-65548,PETM006202602261731013404,R008,Hyderabad Green,1770439720.645974,PET Plastic,34.16,excellent,pyrolysis,Collector-62,512.35,12.620835393863409,77.9588974886852,0c18efd9f30ce94f
REC-20260207-77920,STEM006202602261731013524,R002,Mumbai Waste Warriors,1770440595.761636,Steel,30.83,good,composting,Collector-63,1079.02,13.286403559902192,77.85399809791198,7b9084183d52f402
REC-20260207-68275,COPM007202602261731012652,R008,Hyderabad Green,1770441319.255908,Copper,32.34,good,pyrolysis,Collector-53,1131.87,13.20658504888322,77.8579210268825,b7f22b6f78cce6f9
REC-20260207-56688,ORGM006202602261731017367,R002,Mumbai Waste Warriors,1770441887.951884,Organic Waste,25.65,end_of_life,composting,Collector-48,76.96,12.632547525034585,77.6073518005373,98ed5f8b83ced659
REC-20260207-26566,LITM008202602261731013440,R005,Kolkata Recovery,1770444547.762995,Lithium Battery,10.76,end_of_life,composting,Collector-98,484.14,12.698150733236618,77.80013361889927,1b02ba10d5d1ba2a
REC-20260207-87970,COPM005202602261731013755,R002,Mumbai Waste Warriors,1770444809.222314,Copper,44.35,good,pyrolysis,Collector-70,1552.09,13.409216785387443,77.2613518764048,81b76291bc094c7e
REC-20260207-13655,PAPM006202602261731011166,R005,Kolkata Recovery,1770445109.675093,Paper/Cardboard,39.83,excellent,mechanical,Collector-34,318.67,13.462131031161015,78.00273310899162,63e5cb23db859196
REC-20260207-94902,E-WM007202602261731018253,R008,Hyderabad Green,1770445314.458965,E-Waste PCB,25.01,damaged,mechanical,Collector-68,1125.66,12.683623748332934,78.07290856172702,bfe51b3b29d8f771
REC-20260207-22156,PETM006202602261731016273,R003,Bengaluru E-Parisara,1770447404.829099,PET Plastic,15.43,damaged,composting,Collector-81,231.4,13.045331039893759,77.22843040576976,4a2e9d35178d1380
REC-20260207-32333,ALUM001202602261731016592,R006,Pune Recycling,1770449443.681696,Aluminum,11.58,good,mechanical,Collector-7,405.42,13.198852638431518,77.51145529994243,000145ada764140f
REC-20260207-28982,E-WM006202602261731014506,R005,Kolkata Recovery,1770451174.141203,E-Waste PCB,13.49,damaged,chemical,Collector-95,607.27,12.892525335023915,77.52596072183592,82351eec6fbedaab
REC-20260207-75961,STEM005202602261731018076,R005,Kolkata Recovery,1770452754.046204,Steel,27.03,end_of_life,pyrolysis,Collector-11,946.19,12.816260814222412,77.28023264394712,0b43f3c4f752d0ad
REC-20260207-94951,COPM003202602261731013912,R008,Hyderabad Green,1770452844.16548,Copper,29.26,damaged,mechanical,Collector-9,1023.98,12.924977647902388,77.2853480059676,bc0c52050549a6c1
REC-20260207-62732,PAPM007202602261731015023,R007,Ahmedabad Waste,1770455042.325999,Paper/Cardboard,5.44,excellent,chemical,Collector-10,43.51,12.882027096155618,77.93963817594046,4e95cbcf56f23cd1
REC-20260207-88200,ORGM004202602261731018365,R002,Mumbai Waste Warriors,1770455990.329895,Organic Waste,9.44,good,pyrolysis,Collector-33,28.31,12.582121707342148,77.18780320960532,d3db9f37e12988eb
REC-20260207-68587,GLAM003202602261731017998,R008,Hyderabad Green,1770457247.667424,Glass,16.97,good,pyrolysis,Collector-4,84.86,13.336855761531174,77.28990601508976,f58252dbfaf1d375
REC-20260207-97752,LITM008202602261731015828,R006,Pune Recycling,1770458097.050777,Lithium Battery,23.05,damaged,mechanical,Collector-69,1037.23,13.25267603138827,77.18125883242624,ce0ecb28e390fb7c
REC-20260207-42171,ORGM006202602261731015227,R002,Mumbai Waste Warriors,1770458155.511801,Organic Waste,24.61,good,composting,Collector-89,73.82,13.431961244898634,77.93774844890845,62cc4ef54f61cd86
REC-20260207-69630,E-WM007202602261731013797,R001,Delhi Recycling Hub,1770458723.602289,E-Waste PCB,22.61,excellent,pyrolysis,Collector-53,1017.29,13.086119610816327,77.84713548680068,fa8010bde5d42b80
REC-20260207-52393,PAPM004202602261731015090,R007,Ahmedabad Waste,1770460568.977794,Paper/Cardboard,22.91,good,mechanical,Collector-59,183.26,13.01920137765889,77.95096865287185,e69b9ccbc5c25cbc
REC-20260207-54136,LITM008202602261731017419,R006,Pune Recycling,1770461453.33878,Lithium Battery,6.41,good,pyrolysis,Collector-33,288.5,12.832428248247309,77.7571366105691,9c7367ecbf1bbf60
REC-20260207-69515,STEM006202602261731018586,R006,Pune Recycling,1770461562.476744,Steel,12.39,damaged,pyrolysis,Collector-73,433.55,12.978080518925024,77.80676598621537,e292343423ecb39c
REC-20260207-14699,HDPM002202602261731011051,R001,Delhi Recycling Hub,1770463201.086113,HDPE Plastic,37.47,good,pyrolysis,Collector-98,561.98,12.514827691828547,77.63400355072473,ca8d70daff67581f
REC-20260207-48941,ALUM001202602261731011449,R002,Mumbai Waste Warriors,1770464142.167565,Aluminum,25.04,good,chemical,Collector-84,876.31,12.685765467248611,77.14128315473029,cc00fd65bc0d8e20
